,Category,ProbableCause
0,pilot_issue,The pilot's failure maintain directional control airplane landing.
1,pilot_issue,The pilot's loss directional control landing.
2,flight_issue,The National Transportation Safety Board determines probable cause contact towing vessel Old Glory barge Cole Peter P. Cobb Memorial Bridge protective fendering inadequate navigational assessment identify risk strong cross- currents area bridge transit.
3,pilot_issue,The pilot's failure maintain clearance taxiway sign landing.
4,pilot_issue,The pilot’s failure maintain altitude short final due encounter draft flight instructor's delayed remedial action.
5,pilot_issue,"The pilot's misjudgment airplane’s speed altitude landing approach, failure attain proper touchdown point landing, resulted runway overrun. Contributing accident access limited set flight controls, obstructed vision due seating position, pilot’s decision return relatively constrained runway following perceived anomaly airplane’s flaps."
6,pilot_issue,"The pilot’s failure maintain directional control landing roll, resulted ground-loop."
7,pilot_issue,"The pilot's improper pitch attitude landing flare, resulted hard landing. Contributing accident flight instructors delayed remedial action."
8,pilot_issue,"The pilot's decision attempt takeoff middle runway shifting wind conditions, resulted aborted takeoff runway excursion."
9,pilot_issue,"The pilot’s loss visual reference agricultural low-level flight, resulting collision power lines."
10,pilot_issue,The pilot's failure maintain airplane control water takeoff encounter wake boat.
11,pilot_issue,"The pilot's inadequate flare, resulting hard landing."
12,pilot_issue,The pilot's failure stow speed brake prior attempting takeoff.
13,pilot_issue,The pilot maintain control airplane landing.
14,pilot_issue,"The pilot's failure maintain directional control landing, resulted runway excursion impact vegetation."
15,pilot_issue,"The pilot's failure maintain directional control takeoff, resulted runway excursion subsequent impact obstacle terrain."
16,pilot_issue,"The pilot’s failure maintain proper descent rate balloon’s approach high-wind landing, resulted hard landing serious passenger injury."
17,pilot_issue,"The pilot's inability maintain altitude due loss thermal lift, resulted off-airport landing."
18,pilot_issue,"The pilot’s failure maintain airplane control maneuvering land resulted aerodynamic stall low altitude, pilot unable recover from."
19,pilot_issue,"The pilot's decision continue unstable approach resulted inadequate flare, bounced landing collision trees following delayed go around."
20,pilot_issue,None determined.
21,pilot_issue,"The pilot's selection unsuitable terrain landing, resulted loss control landing nose over."
22,pilot_issue,The pilot's decision takeoff towards known obstacles resulted impact power line.
23,pilot_issue,"The pilot's failure monitor aircraft control, resulted loss control passenger inadvertently moved control stick, pilot passenger's decision unbuckle restraints inflight."
24,pilot_issue,"The pilot's failure maintain directional control takeoff crosswind conditions, resulted ground loop."
25,pilot_issue,"The pilot’s inability regain airplane control pilot-induced spin conducted flight test, resulted collision terrain."
26,pilot_issue,"The pilot's improper recovery bounced landing failure maintain directional control, resulted runway excursion collision trees."
27,pilot_issue,"The pilot's premature application brakes landing, resulted nose-over event."
28,flight_issue,"A partial loss engine power due formation carburetor ice ground, resulted reduced climb capability impact trees initial climb."
29,pilot_issue,The student pilot's inadequate decision make premature turn onto taxiway resulted collision taxiway sign.
30,pilot_issue,The student pilot misjudged landing flare resulted loss control hard bounced landing.
31,pilot_issue,"The flight instructor maintain proper approach path landing flare landing tailwind, resulted hard landing damaged landing gear. During subsequent landing damaged landing gear, flight instructor lost directional control resulted runway excursion collision objects."
32,pilot_issue,"The pilot's failure maintain clearance trees go-around, resulted impact terrain."
33,pilot_issue,"The passenger's inadvertent application rear brakes landing, resulted nose-over."
34,pilot_issue,The pilot's failure attain/maintain directional control landing resulted ground-loop collision terrain.
35,pilot_issue,The flight instructor's failure maintain helicopter control resulted hard landing preforming practice autorotation.
36,pilot_issue,"The flight instructor’s inadequate remedial action following student pilot’s loss directional control landing, resulted runway excursion subsequent nose over."
37,pilot_issue,"The pilot’s failure maintain control airplane simulated power landing, flight instructor's delayed remedial action, resulted loss control airplane’s left wing striking ground."
38,pilot_issue,Foreign object damage sustained main rotor blades due aerial tree trimming.
39,pilot_issue,"The pilot’s improper decision place passenger baggage rear baggage compartment, resulted aft center gravity, increase directional instability, affected pilot’s ability maintain directional control, resulting ground loop landing roll."
40,pilot_issue,"The pilot's failure maintain directional control landing gusting wind conditions, resulted impact large hole nose-over."
41,pilot_issue,"The pilot's failure maintain directional control takeoff crosswind conditions, resulted runway excursion collision trees."
42,pilot_issue,"The pilot’s distraction failure maintain adequate airspeed low altitude maneuver, resulted loss aircraft control collision terrain."
43,pilot_issue,"The pilot's excessive speed landing wet grass runway, resulted runway excursion impact fence."
44,pilot_issue,The pilot’s inability arrest descent rate balloon encountered unforecasted high ground wind resulted hard landing.
45,pilot_issue,"The balloon pilot’s inability maintain proper descent rate balloon’s approach landing un-forecasted weather, resulted hard landing."
46,pilot_issue,"The balloon pilot’s inability maintain altitude un-forecasted weather, resulted hard landing."
47,pilot_issue,The pilot’s improper recovery bounced landing.
48,environment_issue,The National Transportation Safety Board determines probable cause breakaway containership CMA CGM Bianca Napoleon Avenue Container Terminal wharf ensuing equipment damage sudden onset unforecasted severe winds likely originating outflow thunderstorm-generated downburst.
49,pilot_issue,"The pilot's failure maintain directional control takeoff tailwind, resulted subsequent collapse right main landing gear."
50,pilot_issue,The pilot's misjudgment landing flare resulted bounced landing.
51,pilot_issue,"The pilot remove rudder gust lock preflight inspection, resulted forced landing collision tree."
52,pilot_issue,"The unstabilized landing approach gusty wind conditions resulted hard, bounced landing."
53,pilot_issue,"The pilot's failure maintain directional control takeoff, resulted runway excursion impact vegetation."
54,pilot_issue,"The pilot's failure attain proper landing approach speed touchdown point, resulted runway overrun."
55,pilot_issue,"The pilot's overapplication brakes landing gusting tailwind conditions, resulted nose-over."
56,pilot_issue,"The pilot’s failure retract landing gear water landing, resulted nose over. Contributing accident pilot’s failure properly use prelanding checklist."
57,pilot_issue,A loss engine power due water contamination fuel system. Contributing accident pilot’s inadequate preflight sump fuel tanks prior flight.
58,pilot_issue,The pilot’s failure maintain main rotor clearance ground obstacle landing.
59,pilot_issue,The pilot’s failure maintain clearance guy-wires low-altitude agricultural operations.
60,pilot_issue,The pilot's failure maintain clearance attempting fly power lines aerial application pass.
61,pilot_issue,"The pilot's failure ensure engine oil cap installed takeoff, resulted oil obscuring pilot’s view windshield necessitated forced landing unsuitable terrain. Contributing accident pilot’s complacency self-induced pressure complete flight."
62,pilot_issue,"The pilot's improper decision depart off-airport surface standing water, resulted loss control impact terrain."
63,pilot_issue,The pilot’s failure maintain control airplane attempted engine start.
64,pilot_issue,"The pilot's exceedance airplane's critical angle attack attempting avoid deer landing, resulting aerodynamic stall."
65,pilot_issue,The pilot's inadequate preflight performance planning decision utilize available runway high density altitude operations led inflight loss control subsequent collision terrain.
66,flight_issue,"The failure right main landing gear extend prior landing, could duplicated postaccident tests."
67,pilot_issue,"The pilot's failure maintain control airplane low-level pass, resulting airplane exceeding critical angle attack caused aerodynamic stall subsequent impact terrain. Contributing accident pilot's distraction low-level pass."
68,pilot_issue,The pilot's failure maintain adequate clearance known obstacle landing hover.
69,pilot_issue,"The pilot's failure adequately monitor fuel quantity flight, resulted fuel exhaustion total loss engine power."
70,pilot_issue,"The pilot's improper pitch attitude soft-field landing roll, resulted tail striking runway."
71,pilot_issue,The pilot maintain control airplane landing subsequent go around.
72,pilot_issue,The pilot's loss directional control landing tailwheel airplane slight left quartering tailwind. Contributing accident flight instructor's delayed remedial action.
73,pilot_issue,The pilot’s application left brake landing resulting runway excursion.
